B,pet_name,pet_type,breed,age,weight,color,birth_date,owner_name,owner_email,owner_address,owner_city,owner_state,owner_country,owner_postal_code,vaccinated,neutered,microchip_id,vet_name,vet_phone,groomer_name,groomer_phone,food_brand,food_quantity,food_frequency,exercise_duration,exercise_frequency,sleep_duration,temperament,favorite_toy,favorite_treat,grooming_needs
83,Evaleen,bird,Holland Lop,17,82.2,white,2/4/2007,Evaleen Benettelli,ewillmett2a@hc360.com,7 Gale Hill,Nokaneng,,Botswana,,false,true,4489235483,Evaleen MacMurray,395-787-3565,Evaleen Willmett,719-842-3960,Blue Buffalo,6.34,twice a day,4.5,weekly,20.2,energetic,stuffed animal,fish flakes,low
84,Lanae,dog,Parakeet,14,68.5,white,9/29/2015,Lanae Daybell,ldoel2b@furl.net,2066 Prairie Rose Pass,Dzików Stary,,Poland,31-827,true,false,5396794474,Lanae Haggish,714-952-5214,Lanae Doel,377-607-5178,Purina,3.94,once a day,75.5,3 times a week,17.2,calm,stuffed animal,dog biscuit,moderate
85,Olin,cat,Parakeet,2,20.5,brown,11/29/2004,Olin Adicot,osaggs2c@usa.gov,2 Parkside Crossing,Tsagaannuur,,Mongolia,,false,false,3615720021,Olin Berthod,852-985-3024,Olin Saggs,665-583-3782,Royal Canin,4.07,three times a day,2.8,3 times a week,3.9,friendly,chew toy,bird seed,high
86,Veronike,cat,Siamese,9,74.9,brown,7/29/2002,Veronike Pettie,vmayo2d@umn.edu,6 Jackson Point,Las Americas,Tamaulipas,Mexico,88925,false,false,5496032378,Veronike Summersby,194-475-9138,Veronike Mayo,402-636-0497,Purina,2.55,three times a day,12.6,3 times a week,15.7,friendly,feather wand,bird seed,low
87,Liliane,rabbit,Parakeet,18,61.8,white,11/15/2012,Liliane Butteris,lcoram2e@unc.edu,5 Dayton Place,Shuiyin,,China,,false,true,2296338765,Liliane Burchfield,796-609-9616,Liliane Coram,445-714-4978,Royal Canin,1.05,twice a day,113.6,3 times a week,20.8,shy,laser pointer,bird seed,moderate
88,Patience,bird,Siamese,15,14.7,brown,3/28/2012,Patience Krause,pgeraghty2f@theatlantic.com,35717 Springs Center,Brodósqui,,Brazil,64222-000,true,false,6806923364,Patience Le Barr,223-476-1729,Patience Geraghty,715-595-5795,Hill's Science Diet,8.9,twice a day,103.2,weekly,20.3,shy,stuffed animal,bird seed,high
89,Teador,cat,Siamese,5,60.7,gray,2/5/2010,Teador Breewood,tramel2g@businessweek.com,2256 Oneill Pass,Shamanka,,Russia,666025,false,true,8985045109,Teador Lee,262-806-6530,Teador Ramel,724-161-0060,Blue Buffalo,1.2,once a day,14.1,3 times a week,20.2,energetic,laser pointer,carrot,low
90,Vern,bird,Holland Lop,20,77.1,gray,7/9/2016,Vern Solesbury,vcarletto2h@macromedia.com,5 Oriole Avenue,Soutocico,Leiria,Portugal,2420-031,true,false,4232975976,Vern Monteith,379-971-1915,Vern Carletto,588-131-7611,Purina,5.37,twice a day,13.3,daily,5.9,calm,chew toy,carrot,low
91,Trescha,dog,Siamese,20,38.7,black,7/29/2022,Trescha Elmhirst,tgolly2i@twitpic.com,5 Kingsford Way,Lípa,,Czech Republic,763 11,false,false,6318752078,Trescha Coneley,546-462-8315,Trescha Golly,288-140-0656,Purina,6.54,twice a day,59.7,weekly,18.8,energetic,feather wand,dog biscuit,low
92,Hester,rabbit,Labrador Retriever,5,70.4,brown,5/29/2017,Hester MacNucator,hchowne2j@wisc.edu,53 Raven Lane,San Sebastián,,El Salvador,,false,true,2315175244,Hester Hamman,491-392-0687,Hester Chowne,643-672-7680,Hill's Science Diet,5.84,three times a day,69.4,daily,9.7,shy,chew toy,bird seed,low
93,Darlleen,cat,Siamese,15,36.7,orange,10/10/2005,Darlleen Dorr,dayree2k@paypal.com,42747 Debra Way,Petaling Jaya,Selangor,Malaysia,47307,true,true,9067731964,Darlleen Clymo,406-243-4562,Darlleen Ayree,309-929-6027,Purina,4.38,once a day,67.2,daily,5.7,calm,chew toy,bird seed,high
94,Mathilda,rabbit,Holland Lop,10,50.9,brown,11/5/2013,Mathilda Sheppey,mhegley2l@go.com,092 Namekagon Crossing,Dungarvan,,Ireland,T56,true,true,7105317344,Mathilda Firbanks,267-817-2109,Mathilda Hegley,574-935-4110,Royal Canin,1.2,once a day,115.9,daily,22.6,calm,feather wand,bird seed,moderate
95,Forbes,rabbit,Parakeet,9,95.2,gray,8/15/2009,Forbes McIlharga,fscotchmoor2m@webs.com,8 5th Trail,Saint-Avertin,Centre,France,37554 CEDEX,true,true,2727768867,Forbes Rawcliffe,715-513-1948,Forbes Scotchmoor,581-416-8296,Purina,6.93,three times a day,105.8,weekly,1.7,energetic,laser pointer,carrot,low
96,Ilise,fish,Labrador Retriever,4,1.6,gray,2/13/2012,Ilise Maunder,irickwood2n@nytimes.com,85756 Leroy Circle,Santa Catalina - Dique Lujan,,Argentina,1623,true,false,2133416339,Ilise Tacker,645-145-8223,Ilise Rickwood,422-630-7172,Blue Buffalo,1.06,three times a day,43.7,3 times a week,22.4,friendly,feather wand,carrot,high
97,Gertie,bird,Parakeet,11,14,white,7/14/2012,Gertie Laingmaid,gsalvatore2o@wikimedia.org,24 Raven Place,Savalou,,Benin,,false,true,2873799179,Gertie Hibling,317-116-5844,Gertie Salvatore,240-624-2748,Blue Buffalo,5.93,twice a day,66.2,daily,9.5,energetic,stuffed animal,carrot,high
98,Morley,cat,Siamese,10,55.5,gray,3/17/2006,Morley Braybrook,mcorbert2p@theatlantic.com,8326 Northport Pass,Działoszyce,,Poland,28-440,false,true,5003426695,Morley Malin,285-692-1467,Morley Corbert,247-503-6951,Iams,0.16,three times a day,60.5,weekly,17,shy,ball,bird seed,moderate
99,Merrielle,fish,Holland Lop,6,26.7,orange,12/7/2008,Merrielle Dumbare,msalomon2q@home.pl,8 Melrose Court,Xinglong,,China,,true,false,3778483082,Merrielle Jirusek,733-475-9636,Merrielle Salomon,419-420-3070,Purina,1.9,once a day,119,3 times a week,7.7,shy,ball,dog biscuit,moderate
100,Barth,cat,Siamese,4,37.8,black,5/12/2022,Barth Iwanczyk,bbasillon2r@soundcloud.com,4 Jackson Trail,Bakov nad Jizerou,,Czech Republic,294 01,true,false,2234200221,Barth Costley,650-571-7074,Barth Basillon,277-543-8475,Hill's Science Diet,4.8,once a day,25.6,daily,12.6,shy,ball,dog biscuit,high
101,Konstantin,rabbit,Labrador Retriever,4,20.4,gray,4/19/2019,Konstantin Portress,kord2s@opensource.org,96 Pepper Wood Park,Ocote Paulino,,Honduras,,false,false,8775411571,Konstantin Mumbeson,545-461-0397,Konstantin Ord,628-548-2786,Blue Buffalo,1.13,twice a day,85.4,3 times a week,14.5,energetic,feather wand,dog biscuit,low
102,Victoria,dog,Holland Lop,7,78.1,gray,5/4/2018,Victoria Chambers,vbrettel2t@vistaprint.com,600 Talmadge Plaza,Alpūrai,,Pakistan,19201,true,true,4371938031,Victoria Balcock,861-244-6192,Victoria Brettel,549-389-1961,Purina,6.45,twice a day,81.7,weekly,10.3,calm,laser pointer,fish flakes,low
103,Charlean,cat,Labrador Retriever,6,49.8,white,10/26/2005,Charlean O'Hear,cgiovanetti2u@icq.com,8950 Merry Parkway,Daping,,China,,true,true,2700683097,Charlean Brewis,428-556-3660,Charlean Giovanetti,435-887-2499,Purina,9.54,three times a day,42,daily,20.9,shy,laser pointer,dog biscuit,moderate
104,Hervey,fish,Siamese,10,65.3,orange,5/13/2007,Hervey Tapping,hcoldham2v@ed.gov,18 Westport Road,Sapadun,,Philippines,9614,false,true,7259727419,Hervey Pattrick,451-129-6408,Hervey Coldham,323-544-7082,Hill's Science Diet,2.38,twice a day,56.4,weekly,16.3,playful,feather wand,carrot,moderate
105,Lalo,bird,Parakeet,5,44.6,black,1/29/2003,Lalo Josephi,linnes2w@spiegel.de,6 Hayes Avenue,Le Havre,Haute-Normandie,France,76059 CEDEX,true,true,6694656874,Lalo Pond,292-115-5124,Lalo Innes,360-667-3153,Hill's Science Diet,7.59,twice a day,16.8,daily,18.5,energetic,stuffed animal,dog biscuit,moderate
106,Tyrus,fish,Siamese,13,66.2,black,8/24/2005,Tyrus Dabnot,tmacgregor2x@cornell.edu,9870 Novick Park,Mojogajeh,,Indonesia,,true,false,1254288924,Tyrus Balding,161-869-9332,Tyrus MacGregor,505-444-4587,Iams,8.55,three times a day,49.7,daily,0.5,shy,chew toy,carrot,high
107,Nicoli,fish,Siamese,18,2.6,white,1/22/2007,Nicoli Soggee,nfowley2y@abc.net.au,3976 Bay Circle,Gominhães,Braga,Portugal,4800-424,false,false,6221059215,Nicoli Vasilkov,677-785-4487,Nicoli Fowley,391-577-2320,Iams,3.43,twice a day,8.2,3 times a week,14.7,calm,laser pointer,fish flakes,moderate
108,Vitoria,bird,Siamese,11,44.4,white,3/30/2008,Vitoria Laetham,vcrolly2z@cargocollective.com,71 Truax Lane,Kim Sơn,,Vietnam,,false,true,2889874989,Vitoria Biers,798-103-5611,Vitoria Crolly,619-619-7363,Hill's Science Diet,2.77,once a day,103.3,weekly,17.8,shy,chew toy,fish flakes,moderate
109,Doris,dog,Labrador Retriever,19,8.5,gray,5/1/2015,Doris Kibbel,dbray30@squidoo.com,177 Sunfield Court,Moyynkum,,Kazakhstan,,false,false,8366986210,Doris Coetzee,780-563-8744,Doris Bray,746-544-8017,Blue Buffalo,3.98,three times a day,7.8,daily,8.8,playful,chew toy,bird seed,low
110,Ynez,dog,Parakeet,15,74.5,black,12/21/2014,Ynez Hallworth,ygawke31@blogspot.com,751 Stang Hill,Itatiba,,Brazil,13250-000,false,false,8545609163,Ynez Siddell,328-154-5301,Ynez Gawke,823-888-8526,Iams,1.21,three times a day,58.6,3 times a week,19.4,friendly,chew toy,catnip,high
111,Chryste,rabbit,Labrador Retriever,17,86.9,brown,4/10/2000,Chryste Cavanaugh,cvannoni32@ibm.com,9657 Elka Court,Paldit,,Philippines,1422,false,false,5174239406,Chryste Willars,383-598-0384,Chryste Vannoni,880-928-3072,Royal Canin,1.35,twice a day,65.8,weekly,22.5,playful,chew toy,catnip,moderate
112,Kalvin,cat,Holland Lop,18,89.5,brown,6/12/2013,Kalvin Imesson,kscaplehorn33@nbcnews.com,5874 Manitowish Court,Venustiano Carranza,Chiapas,Mexico,30171,false,false,6665761728,Kalvin Flecknell,301-188-3016,Kalvin Scaplehorn,847-898-5399,Hill's Science Diet,3.86,twice a day,79.6,3 times a week,22.6,energetic,chew toy,bird seed,low
113,Jone,dog,Labrador Retriever,6,14.8,orange,11/20/2013,Jone McClinton,jsiggins34@sun.com,93 Evergreen Parkway,Famatina,,Argentina,4203,false,true,2592834206,Jone Jeanel,512-900-9330,Jone Siggins,133-467-3201,Hill's Science Diet,8.58,three times a day,9.2,3 times a week,10.4,friendly,chew toy,dog biscuit,moderate
114,Lanny,rabbit,Parakeet,16,31.6,black,10/27/2000,Lanny Maeer,ljohananov35@creativecommons.org,97489 Coolidge Circle,Valada,Santarém,Portugal,2070-510,true,false,3872602513,Lanny Pietrzak,591-799-5149,Lanny Johananov,416-207-6982,Hill's Science Diet,0.57,twice a day,102,weekly,3.3,playful,stuffed animal,dog biscuit,moderate
115,Kyle,fish,Siamese,20,12.3,white,9/24/2020,Kyle Shemmans,kdearing36@examiner.com,3 Shasta Park,Banjar Bali,,Indonesia,,false,true,1438064303,Kyle Stooders,725-173-6980,Kyle Dearing,442-594-2928,Hill's Science Diet,3.78,twice a day,7,daily,5.6,friendly,stuffed animal,fish flakes,low
116,Filia,fish,Holland Lop,13,74.9,brown,12/30/2004,Filia Clemson,fbeer37@chron.com,21 Moose Avenue,Zmeyskaya,,Russia,363621,true,true,1475929492,Filia Maunton,952-211-9277,Filia Beer,366-457-9030,Blue Buffalo,1.45,twice a day,109.1,3 times a week,1.9,friendly,chew toy,dog biscuit,moderate
117,Anastasia,cat,Labrador Retriever,2,4.3,orange,12/27/2019,Anastasia Henke,ayaakov38@tripadvisor.com,966 Monterey Circle,Praia da Vitória,Ilha Terceira,Portugal,9760-406,false,false,5732966790,Anastasia Paik,515-305-1198,Anastasia Yaakov,434-601-0001,Purina,9.47,twice a day,114.4,3 times a week,4.8,calm,laser pointer,bird seed,high
118,Moyna,rabbit,Siamese,9,83.1,gray,11/4/2015,Moyna Kuhnwald,mdomegan39@npr.org,7 Chive Lane,Kamloops,British Columbia,Canada,H9P,true,false,1323327323,Moyna Alexsandrov,974-726-3328,Moyna Domegan,721-212-5118,Blue Buffalo,5.95,three times a day,102.5,weekly,17.2,playful,stuffed animal,carrot,moderate
119,Lemuel,fish,Goldfish,12,80.1,white,6/7/2021,Lemuel Edmonstone,lridgewell3a@wsj.com,7 Sachs Junction,Yessentuki,,Russia,357637,false,true,3937604104,Lemuel Rembrant,636-351-2424,Lemuel Ridgewell,160-802-7596,Royal Canin,9.91,twice a day,79,weekly,15.2,energetic,stuffed animal,carrot,moderate
120,Theda,dog,Siamese,20,53.6,brown,8/22/2018,Theda Beagen,tidale3b@woothemes.com,390 Clyde Gallagher Parkway,Santander,Cantabria,Spain,39005,false,true,5744324125,Theda Bryant,372-114-1338,Theda Idale,323-865-5082,Purina,4.92,three times a day,108.8,3 times a week,11.8,playful,ball,bird seed,high
121,Rudie,bird,Goldfish,12,67.4,orange,2/6/2005,Rudie Agneau,rlacroix3c@usatoday.com,75 Moose Place,Dondo,,Mozambique,,false,true,2740543925,Rudie Mechi,438-509-5321,Rudie Lacroix,569-368-5521,Purina,1.11,three times a day,0.6,weekly,7,playful,laser pointer,dog biscuit,low
122,Monika,fish,Siamese,9,36.1,orange,1/28/2012,Monika Bene,mfolbig3d@amazon.co.jp,33298 Gateway Pass,Amagarapati,,Indonesia,,false,false,3530510331,Monika Sheldrake,899-601-4772,Monika Folbig,999-517-1425,Royal Canin,9.53,three times a day,98.6,weekly,6.5,shy,chew toy,fish flakes,moderate
123,Jackie,cat,Holland Lop,2,37.3,gray,10/7/2010,Jackie Heams,jcassin3e@bing.com,5 Mayfield Park,Dĩ An,,Vietnam,,true,true,1405559106,Jackie Brumfield,971-263-1249,Jackie Cassin,378-249-6618,Hill's Science Diet,9.9,three times a day,114,3 times a week,3.1,energetic,chew toy,bird seed,moderate
124,Inglis,fish,Parakeet,20,95.9,brown,2/4/2013,Inglis Anthoin,irecord3f@privacy.gov.au,7686 Duke Park,Ust’-Kachka,,Russia,614524,true,false,6009397100,Inglis Georgeson,140-455-1180,Inglis Record,278-716-1726,Iams,8.76,once a day,46.9,weekly,0.9,playful,feather wand,fish flakes,moderate
125,Maren,rabbit,Labrador Retriever,14,70.3,brown,2/13/2022,Maren Railton,mmavin3g@oracle.com,93381 Center Center,Siyang,,China,,true,false,8069710039,Maren Bohl,617-403-3933,Maren Mavin,637-328-3078,Hill's Science Diet,6.11,twice a day,62.3,daily,14.2,friendly,stuffed animal,carrot,moderate
126,Christian,cat,Goldfish,11,36.5,gray,10/16/2003,Christian McAirt,cskune3h@adobe.com,43 Farragut Plaza,Milove,,Ukraine,,false,false,5332343440,Christian Mille,283-309-2677,Christian Skune,144-981-8980,Blue Buffalo,4.13,three times a day,66.5,weekly,14.4,energetic,laser pointer,fish flakes,high
127,Lela,bird,Holland Lop,14,40.2,orange,6/5/2002,Lela Grinnell,lbaxstar3i@mashable.com,70694 Oriole Place,Impalutao,,Philippines,8702,true,false,3681397383,Lela Sumers,190-365-4315,Lela Baxstar,955-139-8855,Iams,3.94,twice a day,78.3,daily,18,shy,stuffed animal,catnip,moderate
128,Rycca,fish,Labrador Retriever,3,64.5,gray,10/30/2006,Rycca Horrod,rstelle3j@shop-pro.jp,4186 Ludington Crossing,Veselí nad Moravou,,Czech Republic,698 01,true,true,5769331611,Rycca Jaggard,521-875-9148,Rycca Stelle,545-928-7269,Royal Canin,9.38,twice a day,117.6,3 times a week,9.8,energetic,feather wand,dog biscuit,high
129,Nissy,cat,Siamese,3,10.9,brown,10/18/2013,Nissy Kiwitz,njaffrey3k@tmall.com,4 Waubesa Parkway,Looc,,Philippines,5507,true,false,2395117497,Nissy Munn,446-587-0509,Nissy Jaffrey,867-368-0459,Hill's Science Diet,4.06,three times a day,31.2,weekly,6,calm,stuffed animal,bird seed,low
130,Fanechka,bird,Parakeet,7,74.7,white,9/26/2000,Fanechka Laddle,fpotzold3l@xrea.com,4 Mendota Junction,Téra,,Niger,,false,false,5697913395,Fanechka Martyns,387-748-6541,Fanechka Potzold,970-486-8927,Royal Canin,3.07,twice a day,110.2,3 times a week,20.5,energetic,stuffed animal,catnip,high
131,Kelly,rabbit,Labrador Retriever,6,53,white,3/18/2015,Kelly Doley,knelius3m@yellowpages.com,5 Hoepker Pass,Cidade Velha,,Cape Verde,,true,true,5088308351,Kelly Bonas,728-611-9640,Kelly Nelius,686-698-3426,Iams,8.02,once a day,78.7,weekly,5.9,playful,ball,carrot,high
132,Therese,fish,Holland Lop,14,94.6,gray,10/12/2010,Therese Bolzmann,tsalmons3n@admin.ch,5 Hoepker Hill,Steinsel,,Luxembourg,L-7346,true,true,1311289632,Therese Fann,690-167-7701,Therese Salmons,591-439-6064,Blue Buffalo,5.81,once a day,94.1,daily,0.8,shy,ball,fish flakes,moderate
133,Keir,bird,Goldfish,5,2.4,white,9/10/2021,Keir Bucktrout,kbrafield3o@about.com,1271 Cottonwood Court,Rancabelut,,Indonesia,,false,false,9318635683,Keir Pettyfer,976-923-2354,Keir Brafield,489-757-8206,Purina,3.55,twice a day,97.6,daily,19.7,playful,stuffed animal,dog biscuit,low
134,Marga,bird,Holland Lop,5,46.8,gray,8/13/2012,Marga Cereceres,mkalker3p@tuttocitta.it,3594 Cardinal Avenue,Drochia,,Moldova,MD-5233,true,false,6185472588,Marga Cavanaugh,976-663-4191,Marga Kalker,187-166-9483,Royal Canin,2.05,three times a day,41.9,weekly,10.3,friendly,ball,fish flakes,low
135,Dennis,bird,Goldfish,6,91.5,brown,4/19/2005,Dennis Redsull,djiroutka3q@dion.ne.jp,902 South Crossing,Haruai,,Indonesia,,true,false,5250080249,Dennis Loch,949-318-8586,Dennis Jiroutka,455-363-5723,Iams,7.22,once a day,1.5,weekly,20.8,energetic,stuffed animal,catnip,low
136,Antons,bird,Labrador Retriever,11,56.1,brown,7/9/2016,Antons McCoid,aglennie3r@baidu.com,3928 Little Fleur Lane,Gongming,,China,,true,true,8634261243,Antons Denham,916-925-7756,Antons Glennie,126-148-2978,Purina,0.72,three times a day,90.2,3 times a week,1.5,playful,laser pointer,bird seed,low
137,Standford,fish,Siamese,17,67.5,white,7/14/2015,Standford Tack,sreilinger3s@cargocollective.com,6 David Street,Sucre,,Peru,,false,true,2024829094,Standford Rivallant,889-112-2297,Standford Reilinger,865-981-4444,Purina,6.43,three times a day,10.2,daily,13,calm,laser pointer,catnip,low
138,Taber,fish,Goldfish,1,98.8,brown,7/20/2009,Taber MacGown,tbrach3t@netscape.com,0 Reindahl Hill,Zhenchuan,,China,,false,false,3878052864,Taber Khomich,325-638-5223,Taber Brach,215-658-7575,Blue Buffalo,6.21,once a day,117.5,daily,20.7,playful,ball,catnip,high
139,Buffy,fish,Siamese,8,83,orange,10/8/2013,Buffy Summersett,brawson3u@hostgator.com,895 Warner Center,Dasha,,China,,false,false,6244693506,Buffy Simmings,684-590-3800,Buffy Rawson,382-245-4654,Iams,2.57,twice a day,61.2,weekly,19.1,friendly,ball,bird seed,moderate
140,Quinn,dog,Siamese,17,78.4,gray,11/17/2000,Quinn Herrema,qmacdavitt3v@cdc.gov,10 Golf Course Street,Claye-Souilly,Île-de-France,France,77414 CEDEX,true,true,1210459076,Quinn Ions,683-976-1592,Quinn MacDavitt,955-325-7948,Royal Canin,1.77,three times a day,38.6,weekly,11.4,shy,ball,dog biscuit,low
141,Matt,dog,Siamese,19,14.3,gray,10/29/2014,Matt Fisk,mworwood3w@cpanel.net,1718 Fremont Way,Khong,,Thailand,30260,true,true,1367532500,Matt Tomas,947-307-2879,Matt Worwood,352-346-0312,Iams,9.02,once a day,15.7,weekly,9.4,shy,stuffed animal,catnip,high
142,Vasili,rabbit,Parakeet,2,30.9,brown,10/12/2019,Vasili Blakden,vsesons3x@godaddy.com,7564 Raven Street,Huanoquite,,Peru,,false,true,2306163204,Vasili Mishaw,758-934-3985,Vasili Sesons,283-184-9893,Iams,8.71,three times a day,104.1,3 times a week,12.3,energetic,stuffed animal,bird seed,moderate
143,Marylynne,cat,Goldfish,17,26.4,black,3/7/2013,Marylynne Checo,mverty3y@mapy.cz,7 Troy Drive,Dorp Tera Kora,,Bonaire. Saint Eustatius and Saba ,,true,true,4671887883,Marylynne Tizzard,176-497-5917,Marylynne Verty,138-948-3956,Blue Buffalo,1.8,three times a day,91.1,weekly,9.3,calm,stuffed animal,catnip,moderate
144,Danya,bird,Labrador Retriever,18,60.1,orange,4/22/2016,Danya Ravenscraft,dbyfford3z@rediff.com,3606 Spaight Place,Guji,,China,,true,false,8006997082,Danya Yallowley,238-455-9179,Danya Byfford,242-581-1455,Purina,8.08,three times a day,117.5,3 times a week,6.3,friendly,stuffed animal,fish flakes,high
145,Law,cat,Goldfish,7,65.5,gray,8/18/2007,Law Heineken,lweippert40@google.nl,1688 Porter Plaza,Vaitogi,,American Samoa,96799,true,false,4317884317,Law Pietrzak,225-295-5015,Law Weippert,317-980-0509,Purina,2.06,once a day,67.4,3 times a week,12.9,calm,ball,carrot,low
146,Alexine,bird,Siamese,6,8,orange,6/14/2016,Alexine Pettegree,abatcheldor41@posterous.com,56 6th Avenue,Dŭstí,,Tajikistan,,true,false,3611033619,Alexine Decayette,450-593-1842,Alexine Batcheldor,496-504-1644,Blue Buffalo,4.68,twice a day,83.8,daily,13,energetic,stuffed animal,dog biscuit,low
147,Nat,rabbit,Goldfish,17,63.7,orange,3/16/2007,Nat Raffeorty,npatshull42@ebay.com,9 North Drive,Pulautemiang,,Indonesia,,false,true,1591032524,Nat Gonneau,771-971-2188,Nat Patshull,104-281-5291,Iams,9.7,three times a day,62.6,daily,19.4,friendly,ball,carrot,low
148,Dorie,fish,Holland Lop,4,26.3,orange,7/28/2004,Dorie Moth,dbeidebeke43@devhub.com,85742 Dahle Terrace,Radlje ob Dravi,,Slovenia,2360,true,false,4683734434,Dorie Goodram,781-298-0842,Dorie Beidebeke,538-351-0585,Purina,5.06,three times a day,27.5,3 times a week,23.3,friendly,laser pointer,fish flakes,low
149,Cherry,cat,Siamese,6,85.6,gray,11/5/2015,Cherry Kupke,cbyass44@ftc.gov,278 International Trail,Mirimire,,Venezuela,,true,true,1431114759,Cherry Grinaugh,178-317-3956,Cherry Byass,865-290-1687,Purina,5.31,once a day,43.8,3 times a week,21.5,playful,ball,fish flakes,low
150,Johann,rabbit,Labrador Retriever,16,15.2,gray,5/24/2000,Johann Ferguson,jdanshin45@cargocollective.com,18 North Road,Fengcheng,,China,,false,true,9237714599,Johann Frunks,458-189-3176,Johann Danshin,365-257-5855,Iams,2.82,three times a day,108.9,3 times a week,19.6,playful,stuffed animal,bird seed,high
151,Manda,cat,Labrador Retriever,17,14,gray,5/13/2011,Manda Mensler,mpiesold46@soup.io,26054 Morningstar Place,Manhiça,,Mozambique,,false,true,1245563043,Manda Purvey,225-166-6668,Manda Piesold,233-865-3045,Royal Canin,4.02,once a day,98.3,daily,10.6,playful,laser pointer,carrot,moderate
152,Seamus,rabbit,Parakeet,3,48.6,black,10/29/2006,Seamus Brenstuhl,sblue47@shutterfly.com,34641 Portage Street,Rana,Lisboa,Portugal,2775-389,false,true,4888747483,Seamus Kohnert,393-923-7612,Seamus Blue,660-900-3813,Blue Buffalo,5.46,once a day,112.2,daily,13.8,energetic,laser pointer,carrot,low
153,Kailey,fish,Parakeet,17,33.6,orange,4/27/2013,Kailey Yitzhok,kthirst48@bbb.org,81531 Troy Street,Toledo,Ohio,United States,43605,false,false,4130547115,Kailey Milward,419-780-3654,Kailey Thirst,573-693-6947,Purina,9.09,three times a day,21.2,3 times a week,19.4,energetic,stuffed animal,carrot,high
154,Gloria,rabbit,Holland Lop,2,1.9,white,8/9/2011,Gloria Bullen,gbrittain49@wsj.com,273 Sycamore Alley,Pavia,Évora,Portugal,7490-405,false,true,2899007442,Gloria Jackson,766-197-9160,Gloria Brittain,387-902-8477,Purina,8.31,twice a day,76.2,weekly,4.1,calm,laser pointer,catnip,low
